Working Electrode (V),Current (mA)
0.484461,-0.531912
0.48379,-0.525902
0.483148,-0.533276
0.48247,-0.528077
0.481836,-0.534585
0.481142,-0.53498
0.480516,-0.527768
0.47986,-0.537193
0.479144,-0.53267
0.478495,-0.534328
0.477824,-0.535503
0.477183,-0.53081
0.476474,-0.540642
0.47587,-0.53346
0.475199,-0.536582
0.474528,-0.536295
0.473894,-0.533251
0.4732,-0.540914
0.472559,-0.533854
0.471895,-0.540125
0.471247,-0.538807
0.470538,-0.536788
0.469897,-0.546231
0.469218,-0.535127
0.46854,-0.543402
0.467883,-0.542816
0.467205,-0.538825
0.466563,-0.544881
0.465862,-0.541187
0.465251,-0.545722
0.464505,-0.542526
0.463909,-0.539762
0.463215,-0.548801
0.462552,-0.541815
0.461895,-0.546402
0.461276,-0.544444
0.460598,-0.543225
0.459897,-0.550182
0.459218,-0.546385
0.458562,-0.552143
0.457906,-0.547867
0.457279,-0.545487
0.456541,-0.552793
0.455915,-0.545365
0.455236,-0.553989
0.45455,-0.549051
0.453961,-0.548743
0.453237,-0.556723
0.452596,-0.548321
0.451925,-0.554282
0.451261,-0.550016
0.450605,-0.549672
0.449882,-0.556835
0.449173,-0.549056
0.448562,-0.558165
0.447928,-0.552817
0.447302,-0.552408
0.446541,-0.560306
0.445974,-0.55135
0.445273,-0.557118
0.444595,-0.553992
0.443909,-0.556337
0.44326,-0.561462
0.442581,-0.552165
0.441925,-0.560118
0.441239,-0.55786
0.440605,-0.55712
0.439919,-0.562377
0.439307,-0.554245
0.438606,-0.562848
0.437905,-0.558391
0.437301,-0.560407
0.436556,-0.564033
0.435974,-0.559676
0.435251,-0.564469
0.43458,-0.561396
0.433938,-0.561773
0.433304,-0.564739
0.432596,-0.558363
0.431902,-0.565075
0.431201,-0.56118
0.43059,-0.564028
0.429964,-0.56734
0.429315,-0.561072
0.428614,-0.571439
0.427928,-0.563532
0.427301,-0.566652
0.426615,-0.567241
0.425937,-0.558822
0.425273,-0.568623
0.424535,-0.563623
0.423938,-0.567634
0.423282,-0.571012
0.422618,-0.563267
0.422014,-0.574204
0.421321,-0.56591
0.420642,-0.569746
0.419978,-0.569162
0.419344,-0.563346
0.418636,-0.57344
0.418002,-0.567151
0.417346,-0.568919
0.416652,-0.5706
0.415996,-0.56434
0.415303,-0.573109
0.414617,-0.564859
0.414042,-0.57022
0.413304,-0.57108
0.412693,-0.565774
0.412014,-0.574743
0.411328,-0.567673
0.410717,-0.569883
0.410001,-0.571277
0.409367,-0.56747
0.408651,-0.57258
0.408002,-0.566105
0.407227,-0.572025
0.406578,-0.571887
0.405944,-0.567651
0.405332,-0.573563
0.404713,-0.570156
0.404012,-0.574429
0.403334,-0.571213
0.40273,-0.565627
0.402021,-0.574912
0.401328,-0.568355
0.400709,-0.575059
0.400001,-0.570185
0.399382,-0.567246
0.398703,-0.577204
0.398024,-0.568422
0.397361,-0.573528
0.396675,-0.571853
0.396026,-0.567757
0.39537,-0.578842
0.394728,-0.567793
0.394109,-0.576404
0.393401,-0.572685
0.392774,-0.569069
0.392088,-0.577086
0.391387,-0.56877
0.390739,-0.572859
0.39,-0.572997
0.389381,-0.571562
0.388666,-0.578292
0.388009,-0.568331
0.387383,-0.575918
0.386719,-0.569651
0.386078,-0.571698
0.385362,-0.579428
0.384728,-0.569672
0.384012,-0.576755
0.383341,-0.574723
0.382707,-0.574191
0.382051,-0.579966
0.381387,-0.568927
0.380761,-0.576831
0.380023,-0.572234
0.379374,-0.571969
0.37871,-0.575866
0.378009,-0.571363
0.377383,-0.579688
0.376712,-0.573389
0.376085,-0.573968
0.375444,-0.578928
0.37478,-0.569645
0.374161,-0.578579
0.373438,-0.57397
0.37273,-0.576536
0.371984,-0.578784
0.371402,-0.570411
0.370724,-0.579889
0.370112,-0.574821
0.369419,-0.575541
0.36874,-0.579959
0.368099,-0.571355
0.367457,-0.580491
0.366726,-0.57441
0.36604,-0.578784
0.365354,-0.581869
0.364743,-0.573355
0.364057,-0.580976
0.363393,-0.576592
0.362752,-0.578265
0.362073,-0.58368
0.361372,-0.575638
0.360731,-0.583592
0.359993,-0.578536
0.359433,-0.579029
0.358785,-0.582431
0.358106,-0.577101
0.35745,-0.585718
0.356801,-0.579691
0.356137,-0.582011
0.355474,-0.579978
0.354758,-0.575715
0.354154,-0.584882
0.353453,-0.580836
0.352759,-0.586415
0.352163,-0.585557
0.351462,-0.578356
0.35082,-0.587446
0.350134,-0.580868
0.3495,-0.584202
0.348807,-0.586228
0.34821,-0.579927
0.347502,-0.588989
0.34686,-0.582382
0.346197,-0.587097
0.345533,-0.585882
0.344877,-0.580407
0.344191,-0.589601
0.34352,-0.583417
0.342811,-0.587718
0.342148,-0.589175
0.341469,-0.584418
0.340813,-0.591831
0.340164,-0.5839
0.339545,-0.588772
0.338904,-0.574442
0.338277,-0.566481
0.337584,-0.582723
0.336905,-0.576899
0.336227,-0.585031
0.33557,-0.582076
0.334944,-0.583343
0.334258,-0.591669
0.333624,-0.584122
0.332945,-0.590705
0.332207,-0.590738
0.331573,-0.585405
0.330872,-0.594665
0.330223,-0.585341
0.32956,-0.593215
0.328963,-0.589239
0.3283,-0.590046
0.327621,-0.594778
0.326942,-0.588664
0.326308,-0.594538
0.325622,-0.592437
0.324936,-0.588648
0.324243,-0.596723
0.323587,-0.591346
0.322923,-0.599709
0.322282,-0.594125
0.321663,-0.593608
0.320962,-0.600175
0.320298,-0.591792
0.319679,-0.59544
0.318956,-0.595153
0.318284,-0.593856
0.317636,-0.599691
0.316987,-0.592887
0.316338,-0.601529
0.315704,-0.594469
0.315041,-0.597481
0.31434,-0.600928
0.313691,-0.592685
0.313005,-0.600223
0.312386,-0.599341
